	1CDX1_434	1CDX1_166	1CDX1_406	1CDX4_67	1CDX1_343	1CDX1_142	1CDX1_54	1CDX1_153	1CDX1_176	1CDX4_93	1CDX2_103	1CDX4_97	1CDX4_371	1CDX4_94	1CDX1_102	1CDX1_216	1CDX1_82	1CDX1_104	1CDX1_72	1CDX2_101	1CDX1_281
1CDX1_434	0.0	1.4002825021743774	2.780583620071411	26.307172775268555	18.38246726989746	0.9817191958427429	3.173692226409912	0.9414214491844177	2.5199971199035645	5.536016464233398	5.229353427886963	4.121121406555176	5.52227258682251	4.032944679260254	5.107408046722412	3.1267170906066895	7.510349273681641	4.615394115447998	2.9493215084075928	5.726550579071045	7.769653797149658
1CDX1_166	1.4002825021743774	0.0	4.169053554534912	26.409395217895508	16.987401962280273	2.3669536113739014	4.573167324066162	2.341015577316284	3.9202585220336914	6.934386253356934	6.626572132110596	5.509546279907227	6.918463706970215	5.414942264556885	6.468279838562012	4.4279584884643555	8.910575866699219	5.9641947746276855	4.33066463470459	7.126596450805664	9.133031845092773
1CDX1_406	2.780583620071411	4.169053554534912	0.0	25.882265090942383	21.156017303466797	1.9082392454147339	0.7118210196495056	1.8698145151138306	0.4801724851131439	2.7836620807647705	2.6053481101989746	1.6998963356018066	2.9040377140045166	1.704505205154419	2.8232414722442627	1.8134801387786865	4.792293548583984	2.478649377822876	1.0368883609771729	2.9975075721740723	5.334528923034668
1CDX4_67	26.307172775268555	26.409395217895508	25.882265090942383	0.0	33.984256744384766	26.502405166625977	26.479698181152344	26.326740264892578	26.293437957763672	26.309186935424805	26.964813232421875	27.04796600341797	27.090717315673828	27.169506072998047	27.87887191772461	27.695289611816406	27.091035842895508	27.868343353271484	26.91582489013672	26.54560661315918	28.895658493041992
1CDX1_343	18.38246726989746	16.987401962280273	21.156017303466797	33.984256744384766	0.0	19.31928253173828	21.535446166992188	19.316041946411133	20.89603614807129	23.917205810546875	23.561378479003906	22.41189193725586	23.84444808959961	22.29465103149414	23.244613647460938	21.129762649536133	25.869901657104492	22.71464729309082	21.23055648803711	24.100494384765625	25.850696563720703
1CDX1_142	0.9817191958427429	2.3669536113739014	1.9082392454147339	26.502405166625977	19.31928253173828	0.0	2.216806173324585	0.17656098306179047	1.5819807052612305	4.602848052978516	4.261915683746338	3.1432981491088867	4.552706718444824	3.0523054599761963	4.126646518707275	2.1809167861938477	6.55549430847168	3.6378278732299805	1.9682061672210693	4.781237602233887	6.788189888000488
1CDX1_54	3.173692226409912	4.573167324066162	0.7118210196495056	26.479698181152344	21.535446166992188	2.216806173324585	0.0	2.23232102394104	0.6674026250839233	2.3986587524414062	2.0602474212646484	1.0273816585540771	2.356067180633545	1.0070322751998901	2.1387245655059814	1.2932367324829102	4.3393049240112305	1.7706241607666016	0.5354666113853455	2.5661885738372803	4.71132230758667
1CDX1_153	0.9414214491844177	2.341015577316284	1.8698145151138306	26.326740264892578	19.316041946411133	0.17656098306179047	2.23232102394104	0.0	1.5809526443481445	4.601192474365234	4.288292407989502	3.1859419345855713	4.581592559814453	3.103217363357544	4.1934027671813965	2.2914295196533203	6.569777488708496	3.7137227058410645	2.0234503746032715	4.7878851890563965	6.849630355834961
1CDX1_176	2.5199971199035645	3.9202585220336914	0.4801724851131439	26.293437957763672	20.89603614807129	1.5819807052612305	0.6674026250839233	1.5809526443481445	0.0	3.0221879482269287	2.7253801822662354	1.679505705833435	3.021993398666382	1.634723424911499	2.768054246902466	1.4183412790298462	4.990871429443359	2.3557496070861816	0.7075638175010681	3.2069754600524902	5.370419025421143
1CDX4_93	5.536016464233398	6.934386253356934	2.7836620807647705	26.309186935424805	23.917205810546875	4.602848052978516	2.3986587524414062	4.601192474365234	3.0221879482269287	0.0	0.778024435043335	1.7311033010482788	0.7961848974227905	1.8988462686538696	1.7818355560302734	3.2018678188323975	2.022728443145752	2.069056749343872	2.7883169651031494	0.28641679883003235	3.0075924396514893
