cell_nm	8+35	8+36	8+37	8+38	8+39	8+40	8+41	8+42	8+43	8+44	8+45	8+46	8+47	8+48	8+49	8+50	8+51	8+52	8+53	8+54	8+55	8+56	8+57	8+58	8+59	8+60	8+61	8+62	8+63	8+64	8+65	8+66	8+67	8+68	8+69	8+70	8+71	8+72	8+73	8+74	8+75	8+76	8+77	8+78	8+79	8+80	8+81	8+82	8+83	8+84	8+85	8+86	8+87	8+88	8+89	8+90	8+91	8+92	8+93	8+94	8+95	8+96	8+97	8+98	8+99	8+100	8+101	8+102	8+103	8+104	8+105	8+106	8+107	8+108	8+109	8+110	8+111	8+112	8+113	8+114	8+115	8+116	8+117	8+118	8+119	8+120	8+121	8+122	8+123	8+124	8+125	8+126	8+127	8+128	8+129	8+130	8+131	8+132	8+133	8+134	8+135	8+136	8+137	8+138	8+139	8+140
1CDX1_434	0.35134260021926955	0.3379932855787638	0.3328807820994211	0.3405495373184351	0.3362891177523163	0.34679815268207614	0.31924743948784073	0.32038355137213914	0.33401689398371953	0.31953146745891536	0.3164071597770949	0.33969745340521135	0.33202869818619735	0.3445259289134794	0.330892586301899	0.32237174716966127	0.33117661427297357	0.34594606876885237	0.32634813876470553	0.34679815268207614	0.3374252296366146	0.3252120268804072	0.3419696771738081	0.3516266281903442	0.3450939848556286	0.3493544044217475	0.31924743948784073	0.3507745442771204	0.3422537051448827	0.35049051630604583	0.37094053022341644	0.3601474673225819	0.3865620686325189	0.36838427848374505	0.39820721544657717	0.39905929935980095	0.3973551315333534	0.4169530615375002	0.3939467958804583	0.42689404052511093	0.4533086418350479	0.45898920125653975	0.461545452996211	0.48341560676895456	0.48341560676895456	0.5055697885127728	0.515794795471458	0.5402212009838728	0.5521503757690057	0.5740205295417492	0.618044865058311	0.6163406972318635	0.6379268230335323	0.6438914104260988	0.7259754940666557	0.7415970324757581	0.7586387107402337	0.7282477178352524	0.7484137037815485	0.77511233306256	0.7435852282732804	0.7234192423269843	0.7401768926203853	0.7282477178352524	0.7117740955129261	0.7276796618931033	0.700697004641017	0.7012650605831662	0.745857452041877	0.7540942632030402	0.8810547662733826	0.9514937030998812	1.0722055908065826	1.1812723316992257	1.405086372906004	1.5735149597532365	1.7320025676128585	1.8339686092286367	1.6632677986128073	1.3627662052158898	1.0631166957321958	0.7964144308931543	0.6183288930293855	0.5177829912689802	0.45955725719868895	0.33657314572339087	0.24880850266134208	0.17808553786376882	0.1357653701736547	0.10679451712404638	0.0596458739256642	0.05510142638847074	0.03805974812399525	0.02840279710745914	0.0332312726157272	0.016189594351251713	0.011361118842983657	0.00965695101653611	0.0034083356528950975	0.0008520839132237744	0.0025562517396713227	0.0002840279710745914	0.0002840279710745914	0.0002840279710745914		
1CDX1_166	0.38106383367770486	0.37448115708826274	0.3649728464590685	0.37667538261807676	0.34266488690595914	0.35583024008484343	0.3550988315749054	0.33864214010130006	0.3441277039258352	0.34851615498546323	0.33864214010130006	0.335716506061548	0.3229168571376328	0.33132805500192	0.3207226316078188	0.33023094223701294	0.33864214010130006	0.333887984786703	0.33059664649198195	0.34522481669074223	0.3232825613926018	0.33717932308142406	0.3550988315749054	0.335350801806579	0.33461939329664103	0.32730530819726084	0.33791073159136203	0.3408363656311141	0.3397392528662071	0.3441277039258352	0.35327031030006034	0.35802446561465745	0.3572930571047194	0.3726526358134177	0.35839016986962646	0.4026403847208762	0.39642341238640316	0.4077602442904423	0.3850865804823639	0.3978862294062791	0.43738228894293185	0.42311982299914064	0.46883285487026644	0.44177074000255995	0.4735870101848635	0.4746841229497705	0.47724405273455356	0.5046718718572291	0.5185686335460513	0.4893122931485308	0.5046718718572291	0.5372195505494707	0.5686701164768052	0.553676242023076	0.558796101592642	0.5950008228345737	0.5807383568907825	0.6396167419407924	0.6513192780998007	0.6282799100367532	0.6465651227852036	0.6337654738612883	0.6359596993911024	0.6919124504013604	0.6769185759476312	0.6703358993581889	0.6889868163616084	0.7646875971401927	0.8272230247398928	0.9446140905849439	1.056885296860429	1.2404688328548703	1.4112527199253964	1.6676114026586701	1.8669202216167784	1.9696831172630693	1.9627347364186583	1.9075133939183382	1.5454661814990218	1.2163323520269158	0.9106035948728263	0.7423796375870834	0.5803726526358135	0.557698988827735	0.4567646144562892	0.332425167766827	0.22051966574631096	0.13713909561337748	0.11336831904039205	0.0727751467388323	0.042787397831373766	0.024136480827954433	0.01938232551335735	0.010971127649070196	0.008411197864287151	0.004388451059628078	0.0036570425496900657	0.0018285212748450329	0.0010971127649070196	0.002194225529814039	0.0014628170198760263	0.0003657042549690066		0.0010971127649070196		
1CDX1_406	0.4401341044003423	0.43613893855101993	0.4128338044299731	0.42415344100305297	0.4198253446662871	0.3885298788465956	0.40218002883178017	0.4141655263797472	0.4098374300429813	0.4148313873546342	0.39618728005779674	0.39086039225870034	0.3965202105452403	0.3928579751833615	0.40051537639456253	0.3861993654344909	0.40184709834433674	0.37920782519817686	0.3881969483591521	0.38486764348471686	0.39685314103268376	0.40850570809320724	0.4134996654048601	0.3978519324950144	0.4105032910178684	0.3991836544447885	0.3958543495703532	0.39618728005779674	0.38919573982148264	0.4055093337062155	0.41516431784207775	0.41383259589230365	0.41183501296764247	0.40118123736944966	0.40783984711832016	0.40650812516854606	0.42415344100305297	0.42814860685237527	0.40417761175644135	0.44279754829989043	0.4417987568375599	0.43647186903846347	0.4727612921698079	0.46144165559672795	0.47242836168236435	0.4544501153604139	0.46876612632048553	0.4990628006778465	0.5010603836025076	0.48274920679311367	0.5133788116379181	0.5137117421253616	0.536018084784078	0.5353522238091909	0.5223679347988933	0.549335304281819	0.5849588664382763	0.5380156677087391	0.5746380213275271	0.5656488981665518	0.5902857542373727	0.629571551755709	0.6408911883287888	0.6795111248722379	0.6848380126713344	0.7064784943551635	0.667525627324271	0.7437667089488386	0.8596265185791858	0.9671630660234449	1.1129866195237097	1.1519394865546022	1.2528174242499908	1.3586893192570324	1.377999287528757	1.4279388606452859	1.3753358436292087	1.2531503547374343	1.0027866281799023	0.7500923882102656	0.5586573579302377	0.4148313873546342	0.28265798383955415	0.23804529852212158	0.17512143639529504	0.11386222670568612	0.08989123160975221	0.06059334871472185	0.03296011825690914	0.02030875973405513	0.022306342658716286	0.011652567060523433	0.014648941447515173	0.0049939573116529	0.008323262186088167	0.0026634438995482134	0.0026634438995482134	0.0006658609748870534	0.002330513412104687	0.00099879146233058	0.002330513412104687	0.0003329304874435267				
1CDX4_67	0.34290345709030834	0.3483587393621996	0.36238660806134854	0.3639452601390318	0.32264098008042646	0.34290345709030834	0.35537267371177406	0.3483587393621996	0.3405654789737835	0.3109510894978023	0.32264098008042646	0.34680008728451633	0.3312135665076842	0.32653761027463446	0.305495807225911	0.3249789581969513	0.3288755883911593	0.3117304155366439	0.31718569780853517	0.333551544624209	0.3008198509928614	0.3101717634589607	0.30705445930359426	0.30861311138127745	0.29302659060444525	0.2977025468374949	0.34290345709030834	0.3249789581969513	0.3203030019639016	0.3280962623523177	0.3023785030705446	0.3101717634589607	0.29692322079865335	0.33043424046884257	0.3031578291093862	0.28289535209950434	0.3132890676143271	0.30627513326475264	0.29926119891517816	0.31718569780853517	0.30783378534243583	0.32653761027463446	0.3109510894978023	0.3203030019639016	0.3584899778671405	0.29848187287633654	0.32965491443000094	0.351476043517566	0.3483587393621996	0.3842077371489136	0.3826490850712304	0.3881043673431217	0.379531780915864	0.3982356058480626	0.4239533651298357	0.4356432557124599	0.42940864740172696	0.48318214408179805	0.48318214408179805	0.47538888369338195	0.539293618878394	0.5244864241404034	0.6008603759468811	0.5642320521213255	0.5689080083543752	0.575142616665108	0.6016397019857228	0.6686617413261012	0.685027588141775	0.8120577324729573	0.8097197543564326	1.0037719380279935	1.1534025374855825	1.320178309797687	1.4191527167305713	1.6623024408491536	1.6786682876648276	1.579693880731943	1.4908507123039993	1.2056173820879703	1.0053305901056766	0.8393341438324138	0.6600891548988435	0.4948720346644222	0.42862932136288534	0.33900682689610023	0.21041803048723462	0.1667757723121045	0.11456092770971663	0.08182923407836903	0.03351101967018922	0.02883506343713956	0.021821129087565075	0.017924498893357024	0.015586520776832195	0.007013934349574489	0.005455282271891269	0.005455282271891269	0.0015586520776832197	0.0031173041553664393						
1CDX1_343	0.3654944080919732	0.3373393466982977	0.32847571625954797	0.3211762558982247	0.3243045960530775	0.31126984540785735	0.3342110065434448	0.32013347584660706	0.298756484788446	0.28676451419484345	0.30292760499491644	0.31022706535623973	0.3258687661305039	0.3018848249432988	0.309705675330431	0.29979926484006364	0.32013347584660706	0.3211762558982247	0.2904142443755051	0.31179123543366616	0.31022706535623973	0.29771370473682834	0.30344899502072525	0.2893714643238875	0.3081415052530045	0.2930211945045491	0.331082666388592	0.3170051356917542	0.29719231471101953	0.30292760499491644	0.2914570244271227	0.3237832060272687	0.333689616517636	0.3263901561563127	0.3044917750723429	0.314919575588519	0.3425532469563857	0.3331682264918272	0.35402382752417944	0.3425532469563857	0.38322166896947263	0.3649730180661644	0.3769649886597669	0.3774863786855758	0.39156390938241353	0.3780077687113846	0.3936494694856487	0.37175108840167886	0.3978205896921192	0.400948929846972	0.4452670820407205	0.4442243019891029	0.4405745718084413	0.4400531817826325	0.49167079433770433	0.5213900258088062	0.5120050053442478	0.5172189056023359	0.511483615318439	0.5453739669960114	0.551630647305717	0.5396386767121145	0.5349461664798353	0.551630647305717	0.5662295680283637	0.5448525769702025	0.5531948173831435	0.562579837847702	0.6042910399124065	0.562579837847702	0.6444380718996846	0.6585156025965223	0.7794780885841653	0.8498657420683542	0.9645715477462915	1.232566021012018	1.4880471336583332	1.6032743293620793	1.7581271670272947	1.9432206261894212	1.7179801350400166	1.3952397090643656	1.0558148022628329	0.7289032560807112	0.5318178263249823	0.5370317265830705	0.4942777444667483	0.39469224953726634	0.21898381083969862	0.13712557678771606	0.11001329544565812	0.07299460361323287	0.029719231471101955	0.032847571625954794	0.027112281342057926	0.014598920722646576	0.017727260877499415	0.006256680309705675	0.010949190541984932	0.007299460361323288	0.0005213900258088063	0.0005213900258088063	0.0010427800516176126			
1CDX1_142	0.42494585177512006	0.41631352606962363	0.4123897416580344	0.44770380136233795	0.39473271180588254	0.3833537370122736	0.4014031453055843	0.392378441158929	0.44495715227422544	0.4119973632168754	0.3955174686882004	0.41552876918730575	0.4014031453055843	0.4178830398342594	0.414351633863829	0.408858335687604	0.40925071412876285	0.44691904448002007	0.4225915811281665	0.43200866371598085	0.4547666133031987	0.44652666603886115	0.44103336786263614	0.43946385409800043	0.46025991147942363	0.4606522899205826	0.45201996421508617	0.47830931977273444	0.4547666133031987	0.44691904448002007	0.47399315691998617	0.4790940766550522	0.47595504912578085	0.4963587280660452	0.464183695891013	0.46575320965564865	0.47320840003766834	0.4763474275669397	0.4633989390086951	0.42023731048121293	0.4563361270678344	0.4767398060080987	0.48419499639011837	0.4865492670370719	0.4700693725083969	0.46967699406723795	0.5155852716828326	0.5167624070063094	0.5336346799761433	0.5202938129767398	0.5618859277395862	0.5481526822990238	0.557962143327997	0.541089870358163	0.5265718680352827	0.552468845151772	0.552861223592931	0.552861223592931	0.5956304736792541	0.6227045861192202	0.5862133910914399	0.5650249552688577	0.5485450607401827	0.5842514988856452	0.5532536020340898	0.568948739680447	0.5638478199453809	0.5685563612392881	0.6309445333835577	0.6768528109991525	0.7749474212888847	0.9032551715478544	1.026854380512917	1.1696801330947673	1.3682236243211854	1.5785384687823711	1.7696267696267698	1.7037071915120696	1.6483818313086607	1.4769124525222086	1.186552406064601	0.8789277081960009	0.6466396710299149	0.486156888595913	0.3739366544244593	0.3280283768088646	0.22522522522522523	0.13850958972910193	0.07298239005556079	0.046693034497912546	0.029428383086919675	0.011378974793608939	0.014125623881721443	0.012556110117085729	0.005493298176225006	0.00392378441158929	0.008632325705496437	0.005493298176225006	0.010986596352450011	0.001961892205794645	0.002746649088112503	0.001961892205794645	0.000392378441158929			
1CDX1_54	0.4603747442362532	0.44265253185970455	0.44386086452174195	0.4213053214970436	0.43580531344149254	0.42090254394303117	0.3995553335803702	0.4172775459569189	0.40801366221463214	0.4200969888350062	0.41566643574086903	0.4092219948766695	0.3874720069599962	0.36330535371924794	0.4104303275387069	0.4104303275387069	0.40036088868839514	0.40801366221463214	0.41405532552481916	0.4221108766050686	0.41566643574086903	0.4233192092671059	0.41486088063284415	0.4297636501313055	0.40841643976864456	0.3951247804862331	0.42855531746926806	0.4482914176158791	0.40841643976864456	0.44023586653562974	0.4277497623612432	0.4269442072532182	0.4297636501313055	0.4309719827933429	0.4092219948766695	0.42251365415908104	0.43258309300939274	0.45151363804797884	0.42493031948315585	0.4337914256714302	0.45030530538594143	0.43016642768531793	0.4200969888350062	0.43218031545538027	0.4277497623612432	0.45836085646619085	0.44627752984581676	0.47165251574860234	0.4414441991976671	0.47930528927483934	0.4728608484106398	0.4720552933026148	0.5006524996375001	0.5087080507177496	0.5038747200696	0.5195830446760863	0.5489858061189966	0.5739580144677697	0.5534163592131338	0.5920830043983308	0.5852357859801189	0.5888607839662312	0.5852357859801189	0.5719441266977073	0.6194718780711789	0.6303468720295156	0.625513541381366	0.6823051764971242	0.7233884870063961	0.777360679244067	0.8454300858721744	1.0166105463274744	1.081457732523482	1.2514298603167444	1.395221447099196	1.4761797354557025	1.4467769740127923	1.465304741497366	1.3859575633569092	1.2232354315358713	0.9956661135188258	0.7527912484493064	0.5715413491436949	0.475680291288727	0.3206109329939261	0.23562486909729494	0.17279157067134962	0.11841660087966617	0.0886110618827434	0.06404163108798273	0.02336109813272326	0.017319434822536207	0.01973610014661103	0.012486104174386569	0.024972208348773138	0.00966666129629928	0.01409721439043645	0.01449999194444892	0.006041663310187051	0.006041663310187051		0.0008055551080249399		0.00040277755401246996	0.00040277755401246996	
1CDX1_153	0.42740665599918504	0.4015160839873179	0.4002427771670621	0.43037770524644847	0.4019405195940698	0.40278939080757364	0.37562551197545063	0.38326535289698527	0.4002427771670621	0.40830705369534864	0.368410106660668	0.3802943036497218	0.40618487566158906	0.3883585801780083	0.3998183415603102	0.3590725233121257	0.40066721277381406	0.3849630953239929	0.3705322846944276	0.40448713323458135	0.4074581824818448	0.39345180745903136	0.4070337468750928	0.39048075821176786	0.4087314893021005	0.38368978850373714	0.38750970896450443	0.3565259096716142	0.36586349302015647	0.3709567203011795	0.3726544627281872	0.3577992164918699	0.3688345422674199	0.3650146218066526	0.35992139452562955	0.3713811559079314	0.3471883263230719	0.3650146218066526	0.33487969372726617	0.34549058389606424	0.34379284146905653	0.3862364021442487	0.3819920460767295	0.37604994758220256	0.4129758453696198	0.39727172791979865	0.39684729231304666	0.4261333491789293	0.41891794386414666	0.3930273718522794	0.4167957658303871	0.4350464969207196	0.39048075821176786	0.44693069390977347	0.48682764094445413	0.4796122356296714	0.4477795651232773	0.49319417504573293	0.49743853111325215	0.4944674818659887	0.5059272432482905	0.5572839516652731	0.46475698939335414	0.5258757167656309	0.5466730614964751	0.5547373380247616	0.5398820917884444	0.5538884668112577	0.5827500880703884	0.6154316297902864	0.6111872737227672	0.6786725351963228	0.7724728042884974	0.8739129143022066	1.0742465206891136	1.202001638321442	1.3997886310678376	1.6319549079611386	1.6616654004337734	1.6807650027376098	1.5334858471946928	1.2894353733123378	1.0207676342383716	0.7049875428149418	0.5339399932939174	0.4991362735402598	0.3993939059535582	0.30134928079386436	0.233015148106805	0.15322125403744372	0.08743373499089585	0.051356708416982526	0.03268154171989797	0.02461726519161145	0.01612855305657302	0.014006375022813416	0.011035325775549961	0.007639840921534589	0.004668791674271138	0.003395484854015373	0.005942098494526903	0.0016977424270076865	0.0012733068202557649			
1CDX1_176	0.4172346300373982	0.4137394708328964	0.4133025759323337	0.3835937226940687	0.41199189123064556	0.39407920030757404	0.40543846772220477	0.4089336269267065	0.4041277830205166	0.40325399321939115	0.42859389745202897	0.41111810142952016	0.41548705043514733	0.4133025759323337	0.4150501555345846	0.43864248016497154	0.41155499633008286	0.4517493271818531	0.45043864248016496	0.44650658837510043	0.46441927929817206	0.4539338016846668	0.45568138128691765	0.49412813253643706	0.4482541679773514	0.4679144385026738	0.49412813253643706	0.4657299639998602	0.4735940722099891	0.45611827618748035	0.49412813253643706	0.5011184509454406	0.4897591835308098	0.48844849882912167	0.49806018664150153	0.49019607843137253	0.48058439061899266	0.48801160392855897	0.49937087134318975	0.48276886512180633	0.4958757121386879	0.5120408234595085	0.501992240746566	0.4814581804201181	0.47184649260773825	0.48888539372968437	0.4915067631330607	0.5102932438572577	0.5120408234595085	0.509856348956695	0.5054873999510678	0.5199049316696376	0.4971863968403761	0.4971863968403761	0.5076718744538813	0.5225263010730139	0.5417496766977735	0.5247107755758275	0.6055363321799307	0.580196427947293	0.5858760616546084	0.5718954248366013	0.6059732270804935	0.5919925902624865	0.655342350844081	0.6675754080598372	0.655342350844081	0.695973576596414	0.7182552165251127	0.8191779385551011	0.8860228583411974	0.9611687812379853	1.0865576176994862	1.2783544790465207	1.421656006431093	1.5623361644122888	1.6667540456467793	1.5789381706336723	1.506413617140261	1.348257663136556	0.9821397364649961	0.6985949459997902	0.4342735311593443	0.38577819719688233	0.3132536437034707	0.2665058893432596	0.1800006990318409	0.1122819894446192	0.06160218097934361	0.026213694033763234	0.01398063681800706	0.01398063681800706	0.010048582712942573	0.003932054105064486	0.005242738806752648	0.0030582643039390447	0.006553423508440809	0.001310684701688162	0.0008737898011254413	0.00699031840900353	0.005242738806752648	0.003932054105064486	0.00043689490056272065		0.0008737898011254413	
1CDX4_93	0.617578121200922	0.5981268417930189	0.6097976094377608	0.6112564553933535	0.5660322307699789	0.5913188940002528	0.6054210715709826	0.6122290193637486	0.6102838914229584	0.5757578704739305	0.5937503039262407	0.6063936355413777	0.6380019645792202	0.6039622256153898	0.6297351708308614	0.6540492700907402	0.6423785024459984	0.6574532439871232	0.6827399072173972	0.6778770873654215	0.6958695208177318	0.7138619542700421	0.7493605391894652	0.6992734947141148	0.7444977193374894	0.6948969568473367	0.7158070822108324	0.6866301630989778	0.71629336419603	0.7089991344180664	0.6637749097946917	0.6671788836910748	0.6491864502387644	0.6141741473045389	0.6127153013489461	0.5567928730512249	0.5431769774656928	0.5086509565166649	0.5076783925462698	0.4454342984409799	0.42501045506268176	0.43133212087025025	0.4220927631514963	0.3899981521284563	0.3851353322764805	0.3681154627945653	0.3447739275050816	0.321432392215598	0.27912585950340885	0.26453739994748154	0.2737767576662355	0.2538391962731349	0.2343879168652318	0.22709368708726815	0.25578432421392516	0.22903881502805848	0.20083445988659904	0.1692261308487566	0.17408895070073233	0.17603407864152265	0.15950049114480505	0.15366510732243413	0.15123369739644624	0.14102177570729715	0.15804164518921232	0.17457523268592992	0.14248062166288986	0.1522062613668414	0.14248062166288986	0.14442574960368018	0.17554779665632508	0.1828420264342887	0.18770484628626447	0.17554779665632508	0.168739848863559	0.15901420915960748	0.1692261308487566	0.1711712587895469	0.1872185643010669	0.1872185643010669	0.18673228231586933	0.2120189455461433	0.1891636922418572	0.18381459040468387	0.1682535668783614	0.17408895070073233	0.13275498195893834	0.15171997938164383	0.13664523784051896	0.10989972865465227	0.11865280438820863	0.08120909152799526	0.05154589043094309	0.023341535289483666	0.03355345697863277	0.01701986948191517	0.022368971319088514	0.01069820367434668	0.01896499742270548	0.0009725639703951528	0.010211921689149105	0.011184485659544257	0.015074741541124868	0.0004862819851975764		
